A6D9	EI-FPG	CRJ9
A6E1	EI-HPZ	DA40
A6E6	EI-FSE	A332
A6ED	EI-UNX	B772
A6F1	EI-DSU	A320
A6F8	EI-FPH	CRJ9
A6FA	EI-LEM	TAMP
A6FB	EI-DYX	B738
A6FC	EI-DYY	B738
A6FF	EI-EBB	B738
A700	EI-EBC	B738
A701	EI-EBD	B738
A702	EI-EBE	B738
A703	EI-EBF	B738
A704	EI-EBG	B738
A707	EI-EBK	B738
A708	EI-EBL	B738
A712	EI-PWC	MM24
A718	EI-DSV	A320
A719	EI-DSW	A320
A71C	EI-FST	C42
A729	EI-ECK	XA85
A730	EI-DSX	A320
A731	EI-FVA	B734
A737	EI-EBN	B738
A738	EI-EBO	B738
A739	EI-EBP	B738
A73A	EI-EBR	B738
A73B	EI-EBS	B738
A73C	EI-EBT	B738
A73D	EI-EBV	B738
A73E	EI-EBW	B738
A73F	EI-EBX	B738
A740	EI-EBY	B738
A741	EI-EBZ	B738
A743	EI-BBC	P28A
A745	EI-FTH	B738
A746	EI-EDC	C152
A747	EI-FII	C172
A748	EI-EDB	C152
A749	EI-EDI	C42
A74A	EI-ECZ	XA85
A74E	EI-EAV	A333
A757	EI-DSY	A320
A758	EI-DSZ	A320
A759	EI-DTA	A320
A75B	EI-FVG	A319
A75D	EI-EFB	B738
A75F	EI-EFD	B738
A760	EI-EFE	B738
A761	EI-EFF	B738
A762	EI-EFG	B738
A763	EI-EFH	B738
A764	EI-EFI	B738
A765	EI-EFJ	B738
A766	EI-EFK	B738
A769	EI-EFN	B738
A76A	EI-EFO	B738
A76F	EI-EDP	A320
A770	EI-EDS	A320
A772	EI-PRO	AS65
A778	EI-VII	RV7
A781	EI-LID	A169
A782	EI-EDY	A333
A783	EI-DTB	A320
A784	EI-LSN	GLF6
A785	EI-LSY	GLF5
A78A	EI-FXL	R44
A790	EI-DTD	A320
A795	EI-GMN	GLIM
A798	EI-DTE	A320
A79B	EI-FTC	B738
A7A1	EI-FXZ	NG4
A7B1	EI-EEO	RV7
A7B3	EI-EFX	B738
A7B5	EI-EFZ	B738
A7B6	EI-EGA	B738
A7B7	EI-EGB	B738
A7B9	EI-EGC	B738
A7C6	EI-KGK	A21N
A7C7	EI-SAC	C172
A7CA	EI-FXW	SKRA
A7D7	EI-DTH	A320
A7D8	EI-GAJ	A333
A7DD	EI-DTI	A320
A7EC	EI-CDP	C182
A7F8	EI-EHV	CRUZ
A7F9	EI-STJ	B734
A7FB	EI-STL	B734
A800	EI-DTK	A320
A801	EI-EKC	B738
A802	EI-EKD	B738
A804	EI-EKF	B738
A805	EI-EKG	B738
A806	EI-EKH	B738
A807	EI-EHY	UF10
A808	EI-EKI	B738
A809	EI-EKJ	B738
A80A	EI-GBI	B738
A80B	EI-EKK	B738
A80C	EI-EKL	B738
A80D	EI-EKM	B738
A80E	EI-EKN	B738
A80F	EI-EKO	B738
A810	EI-EKP	B738
A811	EI-EKR	B738
A812	EI-EKS	B738
A813	EI-EKT	B738
A815	EI-EKW	B738
A816	EI-EKX	B738
A818	EI-SLL	AT72
A81D	EI-DTM	A320
A81E	EI-KEL	EC35
A82B	EI-FXX	B738
A82C	EI-FXY	B738
A82E	EI-DTN	A320
A82F	EI-DTO	A320
A836	EI-GAL	A320
A837	EI-GAM	A320
A83D	EI-HAA	B734
A842	EI-ELA	A333
A843	EI-IXH	A321
A844	EI-IXJ	A321
A845	EI-IXV	A321
A846	EI-IXZ	A321
A847	EI-EKY	B738
A848	EI-EKZ	B738
A849	EI-EMA	B738
A84A	EI-EMB	B738
A84B	EI-EMC	B738
A84C	EI-EMD	B738
A84D	EI-EME	B738
A84E	EI-EMF	B738
A84F	EI-EMH	B738
A850	EI-EMI	B738
A851	EI-SLU	AT72
A852	EI-EMJ	B738
A853	EI-EMK	B738
A854	EI-EML	B738
A855	EI-EMM	B738
A856	EI-EMN	B738
A857	EI-EMO	B738
A858	EI-EMP	B738
A85A	EI-ELM	PA18
A85B	EI-EIA	A320
A85C	EI-EIB	A320
A863	EI-FPI	CRJ9
A864	EI-FPJ	CRJ9
A867	EI-FVX	B738
A86E	EI-GCF	A333
A86F	EI-IGR	B733
A873	EI-EMT	PA16
A875	EI-WFI	CL60
A876	EI-GCJ	CRUZ
A877	EI-EMU	C152
A87B	EI-EMV	CRUZ
A87C	EI-EJG	A332
A87D	EI-EJH	A332
A882	EI-UNR	B772
A883	EI-UNS	B772
A886	EI-UNV	B772
A88C	EI-ENA	B738
A88E	EI-ENB	B738
A891	EI-ENE	B738
A892	EI-ENF	B738
A893	EI-ENG	B738
A894	EI-ENH	B738
A897	EI-GAX	B738
A89B	EI-GBF	B738
A8AB	EI-FTJ	B738
A8AD	EI-STM	B734
A8AE	EI-STN	B734
A8AF	EI-EGD	B738
A8B9	EI-FPN	CRJ9
A8BC	EI-EDR	P28R
A8BD	EI-DVK	A320
A8BF	EI-XLB	B744
A8C9	EI-EOU	EV97
A8CC	EI-SLW	AT72
A8D0	EI-IKB	A320
A8D1	EI-IKU	A320
A8D2	EI-BDR	P28A
A8D4	EI-ENI	B738
A8D5	EI-ENJ	B738
A8D6	EI-ENK	B738
A8D7	EI-ENL	B738
A8D8	EI-ENM	B738
A8D9	EI-ENN	B738
A8DA	EI-ENO	B738
A8DB	EI-ENP	B738
A8DD	EI-GHU	A119
A8DF	EI-IMF	A319
A8E3	EJ-ADMI	GLF6
A8E4	EI-ENR	B738
A8E6	EI-ENT	B738
A8E7	EI-ENV	B738
A8E8	EI-ENW	B738
A8EC	EI-IMC	A319
A8ED	EI-IMD	A319
A8EF	EI-IMG	A319
A8F0	EI-IMO	A319
A8F4	EI-IMB	A319
A8F5	EI-IMH	A319
A8F6	EI-IMI	A319
A8FA	EI-NEO	B789
A8FB	EI-NEU	B789
A8FC	EI-NEW	B789
A8FF	EI-EIC	A320
A900	EI-EID	A320
A907	EI-GHC	B734
A909	EI-LIX	A320
A90A	EI-EIE	A320
A90D	EI-LOW	AS55
A911	EI-EPC	B738
A912	EI-EPD	B738
A913	EI-EPE	B738
A914	EI-EPF	B738
A917	EI-EOZ	B733
A923	EI-EGO	GLF5
A929	EI-MNG	B38M
A92B	EI-HAT	B38M
A92D	EI-DVM	A320
A92F	EI-GIJ	RV9
A930	EI-SYM	RV7
A931	EI-SLX	AT72
A935	EI-DVL	A320
A937	EI-EJJ	A332
A946	EI-IGT	B737
A947	EI-DVN	A320
A94F	EI-IGU	B737
A955	EI-ERZ	FDCT
A95E	EI-HAW	B38M
A960	EI-RZA	B38M
A961	EI-RZC	B38M
A963	EI-EPR	A319
A967	EI-EPP	PA22
A973	EI-IMM	A319
A978	EI-GKM	A320
A97A	EI-ESS	B738
A97B	EI-EST	B738
A97C	EI-ESV	B738
A97F	EI-EPY	UF13
A984	EI-ESE	CH60
A985	EI-GKN	C172
A987	EI-ISD	B772
A988	EI-RNA	E190
A98A	EI-IMN	A319
A98B	EI-ICG	S92
A98C	EI-ICU	S92
A98D	EI-ICA	S92
A98F	EI-ICD	S92
A993	EI-IKF	A320
A99C	EI-RNB	E190
A9A1	EI-RZB	B38M
A9A4	EI-RDB	E75S
A9A5	EI-ETE	RALL
A9A9	EI-HAX	B38M
A9AA	EI-HAY	B38M
A9AE	EI-UNY	B772
A9B1	EI-GIU	C172
A9B6	EI-XLM	B744
A9B7	EI-GOD	P28A
A9BA	EI-LRA	A21N
A9BB	EI-LRB	A21N
A9BC	EI-LRC	A21N
A9BD	EI-IMS	A319
A9BE	EI-RNC	E190
A9C0	EI-ETI	A333
A9C1	EI-EVA	B738
A9C2	EI-EVB	B738
A9C3	EI-EVC	B738
A9C4	EI-EVD	B738
A9C5	EI-XLI	B744
A9C7	EI-RUA	B738
A9C8	EI-ETK	A321
A9C9	EI-ETL	A321
A9CA	EI-RUB	B738
A9CB	EI-LRD	A21N
A9CC	EI-EVE	B738
A9CE	EI-GOA	E190
A9CF	EI-EVG	B738
A9D0	EI-EVH	B738
A9D1	EI-EVI	B738
A9D2	EI-EVJ	B738
A9D3	EI-EVK	B738
A9D4	EI-EVL	B738
A9D6	EI-ETO	A319
A9D7	EI-ETP	A319
A9DE	EI-RDC	E75S
A9DF	EI-EJL	A332
A9E3	EI-RND	E190
A9E4	EI-GOH	A319
A9E7	EI-NUA	B789
A9EA	EI-EVM	B738
A9EB	EI-EVN	B738
A9EC	EI-EVO	B738
A9ED	EI-EVP	B738
A9EE	EI-IMT	A319
A9F3	EI-ISB	B772
A9FA	EI-EUE	A320
AA00	EI-EUK	A320
AA07	EI-GOU	A139
AA15	EI-MGL	B789
AA1C	EI-RNE	E190
AA2B	EI-RUD	B738
AA32	EI-EJM	A332
AA33	EI-EJN	A332
AA36	EI-GPH	B06
AA38	EI-EWX	EFOX
AA40	EI-EIM	A333
AA41	EI-EIN	A333
AA45	EI-RDG	E75S
AA4D	EI-GPK	A139
AA51	EI-EWC	BE76
AA53	EI-GPN	AT76
AA54	EI-GPO	AT76
AA55	EI-GPP	AT76
AA57	EI-EVR	B738
AA58	EI-EVS	B738
AA59	EI-EVT	B738
AA5A	EI-EVV	B738
AA5C	EI-EVX	B738
AA5E	EI-EVZ	B738
AA5F	EI-EXD	B738
AA60	EI-EXE	B738
AA61	EI-EXF	B738
AA6D	EI-EJO	A332
AA74	EI-HOP	RV7
AA75	EI-EXY	UF10
AA7C	EI-RDM	E170
AA80	EI-EYJ	C172
AA85	EI-AII	C150
AA86	EI-HBB	CRJX
AA8E	EI-BJM	C152
AA92	EI-GSN	B738
AA9B	EI-EJP	A332
AAA5	EI-FAD	RV7
AAA7	EI-IMV	A319
AAA8	EI-IMW	A319
AAAB	EI-STU	B734
AAB3	EI-GRV	RV7
AAB4	EI-IMX	A319
AAB6	EI-ISA	B772
AAB7	EI-ISO	B772
AABA	EI-ISE	B772
AABB	EI-GRI	SVNH
AABF	EI-RDO	E75S
AAC1	EI-GRJ	B738
AACB	EI-EZX	PA22
AAD8	EI-FAT	AT76
AADA	EI-FAV	AT76
AADE	EI-GRY	M20P
AAE1	EI-FBC	C172
AAF1	EI-EIK	A333
AAF9	EI-LBR	B752
AAFB	EI-LBT	B752
AB24	EI-GTB	SVNH
AB25	EI-GTC	HR20
AB31	EI-HEE	A332
AB37	EI-GRX	C172
AB39	EI-SRV	RV7
AB3D	EJ-REVA	H25B
AB47	EI-AEN	C170
AB49	EI-TAT	CL60
AB4F	EJ-KGRP	GLF5
AB58	EI-GTH	E190
AB69	EI-GUA	B734
AB6A	EI-FEW	RV7
AB6B	EI-GUB	B734
AB7E	EI-FDO	JABI
AB80	EI-NYE	B789
AB81	EI-FEJ	PIVI
AB83	EI-LIM	A139
AB84	EI-JIA	BE20
AB87	EI-GUD	A319
AB8A	EI-XIN	B789
ABBA	EI-GUG	A320
ABBB	EI-GUH	A320
ABC3	EI-GUL	AT76
ABC4	EI-GUM	AT76
ABC5	EI-GUO	AT76
ABC6	EI-GUP	AT76
ABC7	EI-GUR	AT76
ABC8	EI-GRD	DR40
ABCA	EI-GSZ	A320
ABD1	EI-LRE	A21N
ABD2	EI-LRF	A21N
ABD3	EI-LRG	A21N
ABD4	EI-LRH	A21N
ABDB	EI-HIB	CRJX
ABDE	EI-HIE	CRJX
ABE0	EI-GUI	R44
ABE2	EI-JAM	C72R
ABE4	EI-GVC	WT9
ABEC	EI-EIL	A333
ABEE	EI-GUZ	SVNH
ABF3	EI-GVG	AC11
ABF4	EI-GVH	A332
ABF8	EI-GVN	B738
ABFA	EI-KBA	A320
ABFB	EI-KBB	A320
ABFC	EI-KBC	A320
ABFD	EI-KBD	A320
ABFE	EI-KBE	A320
ABFF	EI-KBF	A320
AC00	EI-KBG	A320
AC01	EI-KBH	A20N
AC02	EI-KBI	A20N
AC03	EI-KBJ	A20N
AC04	EI-KBK	A20N
AC05	EI-KBL	A20N
AC06	EI-KBM	A20N
AC07	EI-KBN	A320
AC08	EI-KDA	A321
AC09	EI-KDB	A321
AC0A	EI-KDC	A21N
AC0B	EI-KDD	A21N
AC0C	EI-KDE	A21N
AC0D	EI-KEA	B763
AC0E	EI-KEB	B763
