0393	VH-AZP	G115
0394	VH-AZQ	C172
0395	VH-AZR	DH82
0396	VH-AZS	DHA3
0397	VH-AZT	DH82
0398	VH-AZU	C404
0399	VH-AZV	C150
039A	VH-AZW	C441
039B	VH-AZX	BE76
039C	VH-AZY	R22
03F0	VH-A2A	E190
03F1	VH-A2B	E190
03F2	VH-A2C	E190
03F5	VH-A2F	E190
03F8	VH-A2I	E190
03F9	VH-A2J	E190
03FA	VH-A2K	E190
0402	VH-A2S	E190
0403	VH-A2T	E190
0404	VH-A2U	E190
0405	VH-A2V	E190
040C	VH-A22	R22
040D	VH-A23	B06
0428	VH-A3U	E190
0432	VH-A34	AS55
0454	VH-A42	AT3T
045C	VH-A5A	A20N
045D	VH-A5B	A20N
045E	VH-A5C	A20N
045F	VH-A5D	A20N
0460	VH-A5E	A20N
0461	VH-A5F	A20N
047A	VH-A54	AT5T
047F	VH-A59	GLID
049C	VH-A62	DA62
04A4	VH-A66	R66
04A7	VH-A69	T206
04BB	VH-A7X	FA7X
04C3	VH-A75	C25A
04D2	VH-A8K	PC12
04D6	VH-A8O	A660
0510	VH-BAA	EC30
0511	VH-BAB	GLAS
0512	VH-BAC	C172
0513	VH-BAD	R22
0514	VH-BAE	C82R
0515	VH-BAF	AIRD
0517	VH-BAH	DH85
0518	VH-BAI	C180
0519	VH-BAJ	MUS2
051A	VH-BAK	BE58
051B	VH-BAL	DH82
051C	VH-BAM	B06
051D	VH-BAN	PA18
051E	VH-BAO	C172
051F	VH-BAP	C172
0522	VH-BAS	DH82
0523	VH-BAT	C182
0524	VH-BAU	P28A
0525	VH-BAV	DH82
0526	VH-BAW	G115
0527	VH-BAX	EXEC
0528	VH-BAY	C72R
0529	VH-BAZ	C172
0534	VH-BBA	BE36
0535	VH-BBB	BE33
0536	VH-BBC	DH82
0537	VH-BBD	BE36
0538	VH-BBE	C185
053A	VH-BBG	BE36
053C	VH-BBI	BE36
053D	VH-BBJ	G115
053E	VH-BBK	DHC1
053F	VH-BBL	BE17
0540	VH-BBM	BE33
0541	VH-BBN	C210
0542	VH-BBO	BD4
0543	VH-BBP	BE58
0544	VH-BBQ	PTS2
0545	VH-BBR	R44
0546	VH-BBS	JAB4
0548	VH-BBU	RV7
054A	VH-BBW	AS50
054B	VH-BBX	G115
054C	VH-BBY	B06
054D	VH-BBZ	PA30
0558	VH-BCA	DHC1
0559	VH-BCB	G115
055A	VH-BCC	DH82
055B	VH-BCD	C72R
055C	VH-BCE	GA20
055D	VH-BCF	AUS3
055E	VH-BCG	AUS3
055F	VH-BCH	BE33
0561	VH-BCJ	R44
0562	VH-BCK	PA25
0563	VH-BCL	G115
0564	VH-BCM	P28T
0565	VH-BCN	DH82
0567	VH-BCP	R66
0568	VH-BCQ	PA31
0569	VH-BCR	C208
056A	VH-BCS	CJ1
056B	VH-BCT	C188
056C	VH-BCU	SREY
056E	VH-BCW	P28A
056F	VH-BCX	B06
0570	VH-BCY	C210
0571	VH-BCZ	DH82
057C	VH-BDA	BD4
057D	VH-BDB	R44
057E	VH-BDC	BE36
057F	VH-BDD	C210
0581	VH-BDF	P28A
0582	VH-BDG	P28A
0583	VH-BDH	DH82
0584	VH-BDI	C172
0585	VH-BDJ	TAIL
0586	VH-BDK	LA4
0587	VH-BDL	R44
0588	VH-BDM	AUS3
058B	VH-BDP	G115
058C	VH-BDQ	J1
058D	VH-BDR	C210
058E	VH-BDS	SLG2
058F	VH-BDT	PA34
0590	VH-BDU	C172
0591	VH-BDV	C210
0592	VH-BDW	BD4
0593	VH-BDX	DH82
0594	VH-BDY	C310
05A0	VH-BEA	C172
05A1	VH-BEB	PA31
05A2	VH-BEC	C210
05A3	VH-BED	AUS3
05A4	VH-BEE	LNC2
05A5	VH-BEF	R22
05A6	VH-BEG	R44
05A7	VH-BEH	C210
05A8	VH-BEI	R22
05A9	VH-BEJ	PA24
05AB	VH-BEL	RV14
05AC	VH-BEM	C402
05AD	VH-BEN	DH82
05AE	VH-BEO	BE23
05AF	VH-BEP	J1
05B0	VH-BEQ	C172
05B1	VH-BER	P28A
05B2	VH-BES	P28A
05B3	VH-BET	BE23
05B4	VH-BEU	B47G
05B5	VH-BEV	PC12
05B6	VH-BEW	C172
05B7	VH-BEX	BR60
05B8	VH-BEY	MUS2
05B9	VH-BEZ	BU81
05C4	VH-BFA	B47G
05C5	VH-BFB	BE36
05C6	VH-BFC	C152
05C7	VH-BFD	DH82
05C8	VH-BFE	C170
05C9	VH-BFF	WIRR
05CB	VH-BFH	R22
05CD	VH-BFJ	C206
05CE	VH-BFK	C172
05CF	VH-BFL	GA8
05D0	VH-BFM	C172
05D1	VH-BFN	C210
05D2	VH-BFO	C152
05D3	VH-BFP	BE76
05D4	VH-BFQ	C72R
05D5	VH-BFR	L5
05D6	VH-BFS	GA8
05D7	VH-BFT	C152
05D8	VH-BFU	TB20
05DA	VH-BFW	G115
05DB	VH-BFX	CA25
05E9	VH-BGB	EC20
05EA	VH-BGC	DH82
05EB	VH-BGD	C172
05EC	VH-BGE	GLID
05ED	VH-BGF	LNC2
05EE	VH-BGG	DH82
05EF	VH-BGH	T210
05F0	VH-BGI	S22T
05F1	VH-BGJ	DH82
05F2	VH-BGK	PA46
05F4	VH-BGM	DHC1
05F5	VH-BGN	C172
05F7	VH-BGP	DH89
05F8	VH-BGQ	G115
05F9	VH-BGR	DH82
05FB	VH-BGT	AA1
05FC	VH-BGU	ACAR
05FD	VH-BGV	R22
05FE	VH-BGW	BD4
05FF	VH-BGX	C172
0600	VH-BGY	BE76
0601	VH-BGZ	BE55
060E	VH-BHC	C150
060F	VH-BHD	C172
0610	VH-BHE	P28A
0611	VH-BHF	B06
0612	VH-BHG	SB91
0613	VH-BHH	AS32
0614	VH-BHI	RBEL
0615	VH-BHJ	R22
0616	VH-BHK	P28A
0618	VH-BHM	GLID
061A	VH-BHO	B06
061B	VH-BHP	C182
061C	VH-BHQ	RV10
061D	VH-BHR	PA46
061F	VH-BHT	B06
0620	VH-BHU	ONEX
0621	VH-BHV	R44
0622	VH-BHW	P32R
0623	VH-BHX	AS32
0624	VH-BHY	AS32
0625	VH-BHZ	P28B
0630	VH-BIA	BL8
0631	VH-BIB	P28R
0632	VH-BIC	PA32
0633	VH-BID	RALL
0634	VH-BIE	P28A
0635	VH-BIF	BK17
0636	VH-BIG	BE36
0637	VH-BIH	T18
0638	VH-BII	AS50
0639	VH-BIJ	DH82
063A	VH-BIK	BL8
063B	VH-BIL	C210
063D	VH-BIN	B06
063E	VH-BIO	C172
063F	VH-BIP	CJ1
0641	VH-BIR	C310
0642	VH-BIS	C190
0644	VH-BIU	P28A
0645	VH-BIV	C210
0646	VH-BIW	C82R
0648	VH-BIY	CJ6
0649	VH-BIZ	C402
0654	VH-BJA	P28R
0655	VH-BJB	P28A
0656	VH-BJC	PA44
0657	VH-BJD	C180
0658	VH-BJE	DH82
065A	VH-BJG	B06
065B	VH-BJH	BE36
065C	VH-BJI	PA44
065D	VH-BJJ	R22
065E	VH-BJK	BE36
065F	VH-BJL	C182
0660	VH-BJM	PA32
0661	VH-BJN	PA27
0662	VH-BJO	P28B
0663	VH-BJP	C210
0664	VH-BJQ	PA34
0665	VH-BJR	C182
0666	VH-BJS	C150
0667	VH-BJT	PA24
0668	VH-BJU	DH82
066A	VH-BJW	T18
066B	VH-BJX	B06
066C	VH-BJY	R22
066D	VH-BJZ	PA44
067A	VH-BKC	DH82
067B	VH-BKD	C210
067C	VH-BKE	AT5T
067D	VH-BKF	PA27
067E	VH-BKG	PTS1
067F	VH-BKH	BL8
0680	VH-BKI	C172
0681	VH-BKJ	PA27
0682	VH-BKK	RV10
0683	VH-BKL	PA44
0684	VH-BKM	P28A
0685	VH-BKN	BE60
0686	VH-BKO	C172
0687	VH-BKP	EUPA
0688	VH-BKQ	AA5
068A	VH-BKS	TMOT
068B	VH-BKT	BE36
068C	VH-BKU	AS50
068E	VH-BKW	C182
068F	VH-BKX	AA5
0690	VH-BKY	C182
0691	VH-BKZ	PA32
069C	VH-BLA	AS50
069D	VH-BLB	FA24
069E	VH-BLC	P28A
069F	VH-BLD	P28A
06A0	VH-BLE	B407
06A1	VH-BLF	P28A
06A2	VH-BLG	P28A
06A3	VH-BLH	SLG4
06A4	VH-BLI	C170
06A5	VH-BLJ	B06
06A6	VH-BLK	C82R
06A7	VH-BLL	B06
06A8	VH-BLM	CL60
06A9	VH-BLN	B06
06AA	VH-BLO	SU29
06AB	VH-BLP	B06
06AD	VH-BLR	B06
06AE	VH-BLS	PA24
06AF	VH-BLT	B58T
06B1	VH-BLV	B06
06B2	VH-BLW	BE58
06B3	VH-BLX	P28A
06B4	VH-BLY	R22
06C1	VH-BMB	C152
06C2	VH-BMC	OPCA
06C3	VH-BMD	PA22
06C4	VH-BME	P28R
06C5	VH-BMF	C182
06C6	VH-BMG	KR2
06C7	VH-BMH	R44
06C8	VH-BMI	P28T
06C9	VH-BMJ	C182
06CB	VH-BML	C210
06CC	VH-BMM	C172
06CD	VH-BMN	GEMI
06CE	VH-BMO	BE58
06CF	VH-BMP	CH30
06D0	VH-BMQ	H269
06D1	VH-BMR	EXEC
06D2	VH-BMS	C182
06D3	VH-BMT	R22
06D4	VH-BMU	R44
06D5	VH-BMV	C175
06D6	VH-BMW	H25B
06D7	VH-BMX	C182
06D8	VH-BMY	C182
06D9	VH-BMZ	P28R
06E4	VH-BNA	ACAR
06E5	VH-BNB	C175
06E6	VH-BNC	BN2P
06E7	VH-BND	C172
06E8	VH-BNE	A210
06EA	VH-BNG	BN2P
06EB	VH-BNH	C182
06EC	VH-BNI	DH82
06ED	VH-BNJ	AT5T
06EE	VH-BNK	B06
06EF	VH-BNL	D150
06F0	VH-BNM	C150
06F1	VH-BNN	P32R
06F2	VH-BNO	P28U
06F3	VH-BNP	JAB4
06F5	VH-BNR	AT5T
06F6	VH-BNS	C172
06F7	VH-BNT	PA38
06F8	VH-BNU	P28A
06FA	VH-BNW	P28A
06FB	VH-BNX	GA8
06FC	VH-BNY	PA38
06FD	VH-BNZ	C210
0708	VH-BOA	R22
0709	VH-BOB	P51
070A	VH-BOC	M20P
070B	VH-BOD	BE55
070C	VH-BOE	PA36
070D	VH-BOF	C172
070E	VH-BOG	M7
070F	VH-BOH	C182
0711	VH-BOJ	DH82
0712	VH-BOK	R22
0714	VH-BOM	C182
0715	VH-BON	C172
0716	VH-BOO	M6
0718	VH-BOQ	AUS3
0719	VH-BOR	DH82
071B	VH-BOT	PA25
071C	VH-BOU	C210
071D	VH-BOV	R44
071E	VH-BOW	PA32
0720	VH-BOY	C72R
0721	VH-BOZ	P51
072C	VH-BPA	ACAR
072E	VH-BPC	PA30
072F	VH-BPD	SASP
0732	VH-BPG	MG15
0733	VH-BPH	RV4
0736	VH-BPK	DH82
0737	VH-BPL	R44
0739	VH-BPN	DC3
073E	VH-BPS	S108
073F	VH-BPT	AT5T
0740	VH-BPU	DH82
0742	VH-BPW	BL8
0743	VH-BPX	RV7
0744	VH-BPY	C310
0745	VH-BPZ	C402
0750	VH-BQA	BE36
0751	VH-BQB	E110
0753	VH-BQD	PA36
0754	VH-BQE	AT8T
0756	VH-BQG	C182
0757	VH-BQH	AT8T
0758	VH-BQI	H269
075A	VH-BQK	TOUR
075C	VH-BQM	BE36
075D	VH-BQN	H269
075E	VH-BQO	EAGL
075F	VH-BQP	GA8
0760	VH-BQQ	B06
0761	VH-BQR	R22
0762	VH-BQS	C172
0763	VH-BQT	B06
0764	VH-BQU	PA22
0765	VH-BQV	SR22
0766	VH-BQW	TOUR
0768	VH-BQY	H269
0774	VH-BRA	C182
0775	VH-BRB	A109
0776	VH-BRC	BD4
0778	VH-BRE	C172
077B	VH-BRH	BE50
077C	VH-BRI	C182
077D	VH-BRJ	T210
077F	VH-BRL	PA31
0780	VH-BRM	DH82
0781	VH-BRN	COZY
0783	VH-BRP	GLAS
0786	VH-BRS	C152
0787	VH-BRT	SREY
