0AD3	G-BOGM	P28U
0AD4	G-RVIX	RV9
0AD6	G-ATCX	C182
0AD8	G-VONS	P32R
0ADD	G-EZEN	A319
0AE6	G-EZEY	A319
0AE8	G-SENE	PA34
0AE9	G-BNVE	P28A
0AEA	G-PECK	PA32
0AEB	G-DJJA	P28A
0AEC	G-ARJT	PA23
0AF3	G-BRXP	SV4
0AF4	G-DNOP	PA46
0AF7	G-EZAM	A319
0AF9	G-EZMH	A319
0AFB	G-EUXC	A321
0AFC	G-EUXD	A321
0AFD	G-EUXE	A321
0AFE	G-EUXF	A321
0AFF	G-EUXG	A321
0B00	G-EUXH	A321
0B01	G-HMEI	F900
0B02	G-ROKT	C172
0B03	G-CPSS	C208
0B04	G-JEDW	DH8D
0B06	G-GOTH	P28A
0B0C	G-CCYG	R44
0B0D	G-BTZO	TB20
0B0E	G-DENI	PA32
0B0F	G-CSIX	PA32
0B10	G-BNYM	C172
0B13	G-IFUT	BN2P
0B15	G-BHRO	AC11
0B17	G-ISHA	P28A
0B1C	G-BZTN	EUPA
0B1E	G-CBHI	EUPA
0B1F	G-CZNE	BN2T
0B20	G-OCAC	HR20
0B22	G-OMAF	D228
0B24	G-WVIP	BE20
0B25	G-BOHR	P28A
0B28	G-SHRT	R44
0B2A	G-BSDW	C182
0B2C	G-ANNI	DH82
0B2D	G-SHUG	P28S
0B32	G-GVFR	TB20
0B36	G-STUY	R44
0B39	G-JGAR	R44
0B3A	G-IPJF	R44
0B3E	G-AMRA	DC3
0B3F	G-ANAF	DC3
0B40	G-AMPY	DC3
0B49	G-FLOW	C172
0B4A	G-INDX	R44
0B4B	G-DHLM	B763
0B4F	G-SALA	PA32
0B50	G-BRUX	PA44
0B52	G-BBIF	PA27
0B54	G-GATT	R44
0B5B	G-BEUD	HR10
0B5E	G-OLCP	AS55
0B60	G-BCKT	SUBA
0B62	G-DIZY	P28S
0B65	G-BHZT	BDOG
0B68	G-NATT	AC11
0B6A	G-COVA	P28A
