0B6F	XB-SGT	C550
0B71	XA-LAP	C68A
0B72	XA-VCU	MD83
0B73	XA-VCS	CRJ2
0B74	XC-HIX	FA20
0B75	XB-IWM	SR22
0B76	XA-DRD	B737
0B77	XA-DRI	B737
0B78	XA-VIO	A20N
0B79	XC-HHS	AC90
0B7C	XA-VIH	A20N
0B7D	XA-VCM	LJ31
0B7E	XB-PHP	C525
0B83	XB-JZT	PAY1
0B84	XA-DRG	C25C
0B86	XA-TVG	E550
0B89	XA-MLD	C68A
0B8A	XA-VRI	A20N
0B8B	XA-MAY	B38M
0B8C	XB-IHX	PC12
0B8D	XB-SRD	C182
0B8E	XA-CHI	S76
0B90	XA-VIA	A20N
0B91	XA-VRJ	A20N
0B92	XA-VIQ	A20N
0B94	XB-DBU	C421
0B95	XA-JDM	E55P
0B96	XB-ARB	C182
0B98	XB-NOE	BE33
0B9A	XA-VCX	CRJ2
0B9B	XB-NBA	PAY3
0B9C	XB-BNJ	P28B
0B9F	XA-VCZ	SW4
0BA0	XB-PGQ	C551
0BA1	XA-MAZ	B39M
0BA2	XA-VDC	MD82
0BA3	XA-VIR	A20N
0BA4	XB-FXK	C425
0BA6	XB-MNI	T206
0BA7	XA-MRA	E550
0BA8	XB-MSR	SR22
0BA9	XB-FCR	H25B
0BAA	XA-VDD	B733
0BAB	XA-FAP	GLF4
0BAC	XA-IMH	B39M
0BAE	XB-YAZ	C182
0BAF	XB-EJS	AC90
0BB2	XA-LFR	A306
0BB3	XA-HSB	B39M
0BB4	XA-CDM	C25M
0BB5	XA-BUA	CL35
0BB6	XA-EHE	S92
0BB7	XA-DOC	LJ35
0BB8	XA-VIS	A20N
0BB9	XB-AEM	C82S
0BBA	XA-MFG	B789
0BBB	XA-VIT	A20N
0BBD	XB-JBI	T210
0BBE	XA-VRK	A20N
0BC0	XB-JFM	S22T
0BC1	XB-DIP	SW3
0BC2	XB-BDD	P32T
0BC3	XB-IHK	BE20
0BC5	XA-JEY	GLF4
0BC8	XA-CIC	B407
0BC9	XB-BQM	PA34
0BCE	XA-BBB	B39M
0BCF	XA-GTR	C510
0BD0	XB-MKE	T206
0BD1	XA-CLR	GLF6
0BD2	XB-MKD	C421
0BD4	XB-NMS	SW3
0BD5	XB-RPG	C414
0BD6	XA-EGH	B505
0BD7	XB-TMT	AC90
0BD8	XA-FON	LJ75
0BD9	XC-TAM	B430
0BDA	XB-PAX	C550
0BDB	XB-DBT	C55B	A
0BDC	XC-LLW	UH1
0BDD	XB-PWK	PA31
0BDE	XB-ENX	C421
0BDF	XC-CVM	C500
0BE0	XA-EHG	S92
0BE2	XA-COZ	T206
0BE3	XA-AHX	R66
0BE4	XB-GFA	C402
0BE5	XB-LVR	BE58
0BE6	XB-PWD	C10T
0BE8	XB-RJA	C340
0BEA	XB-LFV	PA34
0BEB	XA-USB	SW4
0BEC	XB-SLV	C182
0BED	XB-IJZ	C207
0BEF	XC-PFL	AS50
0BF0	XC-PFQ	AS50
0BF1	XC-APF	EC20
0BF2	XC-BPF	EC20
0BF4	XC-DPF	EC20
0BF5	XC-EPF	EC20
0BF6	XC-PFU	B06
0BF7	XC-IPF	C182
0BF8	PF-511	CN35
0BF9	XB-ERP	P210
0BFB	XB-JCA	PA31
0BFC	XB-ACB	C421
0BFF	XA-CCC	B38M
0C00	XB-EYV	PA34
0C01	XB-BTE	PA27
0C02	XA-VIU	A20N
0C05	XB-UBA	BE9L
0C07	XA-VDL	CRJ2
0C08	XB-FCS	P32R
0C09	XB-HUA	C182
0C0A	XA-VDO	T206
0C0B	XB-MWT	C414
0C0C	XB-UNA	SBR1
0C0F	XA-ENR	PC24
0C10	XB-SDC	PA31
0C11	XB-RYR	C414
0C13	XA-VDS	EC30
0C14	XA-RUV	E145
0C15	XB-GMX	P337
0C18	XA-VDM	B733
0C19	XA-VDN	SW4
0C1C	XA-VDR	MD83
0C1D	XA-USJ	SW4
0C1F	XB-PPC	C340
0C20	XB-GHU	C340
0C21	XB-SLJ	C650
0C24	XB-OYB	C650
0C25	XB-HUB	C182
0C26	XB-RJT	H25B
0C27	XB-MRM	T210
0C28	XB-AQE	PA32
0C29	XB-TPS	C82S
0C2A	XA-CJM	LJ40
0C2B	XB-LSA	C500
0C2C	XA-III	B738
0C2D	XB-DLE	C414
0C2E	XB-OII	CH7B
0C2F	XA-VTY	B429
0C30	XB-FTT	C414
0C33	XC-MED	B429
0C34	XB-PNZ	PA34
0C36	XB-LVL	C501
0C37	XB-HQW	BE9L
0C38	XB-JFV	C500
