3B5C	01UG	AP22
3B7C	F-JAYS	ECHO
3B9D	F-JAZI	SHRK
3BBC	F-JART	J300
3BDC	F-JBAB	G1
3C01	F-BPAB	GY80
3C03	F-BPAD	GY80
3C09	F-BPAJ	GY80
3C1A	F-WWRI	TBM7
3C1C	F-JALU	GLID
3C33	F-BPBT	RALL
3C42	F-BPCC	D253
3C44	F-BPCE	D253
3C47	F-BPCH	DR22
3C4C	F-BPCM	DR22
3C5D	F-JHUF	VL3
3C6F	F-BPDP	RALL
3C7B	F-CJLL	GLIM
3C85	F-BPEF	C172
3C89	F-BPEJ	C150
3C95	F-BPEV	C150
3CA9	F-BPFJ	S05R
3CB1	F-BPFR	BE35
3CDC	F-JBIU	VL3
3CF8	F-BPHY	RALL
3CFA	F-WWRP	TBM9
3CFD	F-JAMG	NNJA
3D02	F-BPIC	PA30
3D05	F-BPIF	PA18
3D0A	F-BPIK	PA30
3D11	F-BPIR	PA30
3D13	F-BPIT	BE35
3D1C	F-JBMR	GUEP
3D24	F-BPJE	PA32
3D3A	F-WWRJ	TBM7
3D3B	F-CJAC	GLIM
3D43	F-BPKD	D253
3D47	F-BPKH	DR22
3D48	F-BPKI	DR22
3D4F	F-BPKP	DR22
3D5C	F-JUAY	ECHO
3D6D	F-BPLN	RF4
3D89	F-BPMJ	RALL
3DBA	F-WWRV	TBM9
3DC1	F-BPOB	DR30
3DC9	F-BPOJ	D253
3DD9	F-BPOZ	D253
3DDC	F-JROD	NNJA
3DDD	F-JAFT	WT9
3DEE	F-BPPO	PA24
3DFB	F-CJAN	GLID
3E0B	F-BPQL	RALL
3E0C	F-BPQM	RALL
3E1B	F-CHSO	GLID
3E28	F-BPRI	DR30
3E31	F-BPRR	DR22
3E33	F-BPRT	DR22
3E62	F-BPTC	WA42
3E65	F-BPTF	WA41
3E66	F-BPTG	WA42
3E6D	F-BPTN	WA42
3E6E	F-BPTO	WA42
3E7A	F-WWOW	A388
3E7D	F-JAIJ	S450
3EBC	01AHA	WT9
3EDB	F-AZJS	SPIT
3EDD	F-JSMP	NNJA
3EF5	F-BPXV	RF6
3EFB	F-PKRL	EUPA
3F3C	F-JBVX	SVNH
3F5A	F-WWSH	A388
3F5B	F-CEYN	SF28
3F7C	F-JBXL	JRO
3F9B	F-PTGL	MCR1
3FDA	F-WWSL	A388
3FDB	F-PNUH	D11
3FFB	F-PCPI	MCR4
3FFD	F-JAML	SHRK
401A	F-WWSN	A388
401C	F-JBXY	SVNH
401D	F-JANC	AP22
403A	F-WWSO	A388
407B	F-CHCB	SF25
40BB	F-CGLX	GLIM
40DA	F-WWSX	A306
40DB	F-CGST	GLID
40DD	83AQP	U15
417D	SP-HAWK	DYH3
41BC	F-JCIB	STCH
41DC	74AJN	ECHO
423D	F-JAYJ	WT9
425D	F-JBAK	G1
42BB	F-PDAP	MCR4
42BC	F-JEDX	FOX
42BD	F-JUSM	SVNH
42DB	F-PHOT	MCR1
42DD	F-JJWA	TTRS
437C	F-JTON	SVNH
439A	F-WWQS	FA8X
43BB	F-PJAN	JAB4
43BD	F-JRJE	G1
43FD	F-JBFY	SVNH
4408	F-BRAI	C206
441B	F-PNCG	MCR4
443B	F-PJJN	D140
444D	F-BRCN	DR30
4468	F-BRDI	GY80
447D	F-JIGS	SHRK
449C	F-JCXW	ALSL
44A0	F-BRFA	DR30
44B2	F-BRFS	D253
44D0	F-BRGQ	S208
44D5	F-BRGV	D140
44E0	F-BRHA	M20P
44EC	F-BRHM	JUNR
44FB	F-CIJF	GLID
4508	F-BRII	C206
4519	F-BRIZ	BE33
453B	F-PDBA	MCR4
4575	F-BRLV	RALL
45B0	F-BRNQ	P28R
45BA	F-WWZK	FA8X
45C0	F-BROA	DR30
45F2	F-BRPS	C172
45FA	F-WWZM	FA8X
45FC	F-JDFX	G1
460D	F-BRQN	PA18
461A	F-WWZN	FA8X
4631	F-BRRR	RALL
463A	F-WWZO	FA8X
463D	F-JJJW	SVNH
465A	F-WWZP	FA8X
4663	F-BRTD	DR30
466C	F-BRTM	D253
466E	F-BRTO	DR30
466F	F-BRTP	DR30
467C	F-JDHA	G1
467D	F-JBTT	AP22
4684	F-BRUE	P28R
4694	F-BRUU	WA42
46A3	F-BRVD	DR30
46A7	F-BRVH	DR22
46AB	F-BRVL	DR30
46BA	F-WWZS	FA8X
46BC	F-JDHP	FDCT
46DB	F-POPN	D140
46DC	F-JDHR	SD4
46DD	F-JXLN	FDCT
46E2	F-BRXC	C172
46ED	F-BRXN	C206
46FA	F-WWZU	FA8X
471A	F-WWZV	FA8X
4720	F-BRZA	DR30
472C	F-BRZM	DR30
4730	F-BRZQ	DR30
4733	F-BRZT	D253
473A	F-WWZW	FA7X
47BB	F-PROP	MCR1
47BC	01AEE	SVNH
47FA	F-WWMT	A400
47FD	F-JCDO	WT9
4820	F-BSBA	DR22
482C	F-BSBM	D253
483B	F-POSM	MCR1
483D	F-JCET	AP22
485A	EC-406	A400
485B	F-CGQI	GLID
4863	F-BSDD	RALL
487B	F-CJJB	GLIM
4880	F-BSEA	BE33
489B	F-CIOL	GLIM
48BD	F-JCGD	AP32
48C8	F-BSGI	DO27
48D2	F-BSGS	WA42
48DA	F-WWQA	FA8X
48DC	F-WWQC	FA8X
48DD	F-JCGT	AP32
48E3	F-BSHD	C172
48EC	F-BSHM	C150
48F0	F-BSHQ	C77R
48FA	F-WWQB	FA8X
4906	F-BSIG	C150
4907	F-BSIH	DR10
491C	F-JDLR	VL3
4921	F-BSJB	DR30
4925	F-BSJF	DR30
4927	F-BSJH	DR30
4934	F-BSJU	DR30
4935	F-BSJV	DR30
4939	F-BSJZ	DR30
493D	F-JBHT	D18
4965	F-BSLF	DR30
4971	F-BSLR	DR30
497A	F-WWQF	FA8X
497C	F-JDLX	U15
4982	F-BSMC	RALL
499B	F-PGBC	GLST
49A0	F-BSNA	WA50
49AC	F-BSNM	WA50
49AE	F-BSNO	WA42
49BA	F-WWQH	FA8X
49BB	F-PVGC	MCR1
49C3	F-BSOD	DR30
49C8	F-BSOI	HR10
49D1	F-BSOR	DR30
49DA	F-WWQI	FA8X
49DC	F-JEJH	COY2
49EA	F-BSPK	DR30
49EC	F-BSPM	DR30
49ED	F-BSPN	DR30
49EE	F-BSPO	DR30
49F0	F-BSPQ	DR30
49F2	F-BSPS	DR30
49FA	F-WWQJ	FA8X
49FB	F-PKRU	MCR4
4A1A	F-WWQK	FA8X
4A1D	F-JIKY	FDCT
4A3A	F-WWQL	FA8X
4A3D	F-JBDG	CH70
4A5A	F-WWQM	FA8X
4A7A	F-WWQN	FA8X
4A92	F-BSUS	S208
4A9A	F-WWQO	FA8X
4A9D	F-JCNA	NG5
4AB4	F-BSVU	RALL
4ABA	F-WWQP	FA8X
4ABB	F-PGAK	RV6
4ADA	F-WWQQ	FA8X
4AE4	F-BSXE	RALL
4AFA	F-WWQR	FA8X
4B14	F-BSYU	GY80
4B3B	F-PIEP	MCR4
4B3C	F-JWSD	VM1
4B3D	F-JCTQ	ELSP
4B5B	F-PHHH	MCR4
4B5C	01PM	CH60
4BBA	F-WWQZ	FA8X
4BFC	F-JVAX	SVNH
4C32	F-BTBS	DR30
4C3C	F-JDRE	ECHO
4C3D	F-JCWG	WT9
4C4D	F-BTCN	P28R
4C59	F-BTCZ	C182
4C6D	F-BTDN	CP10
4C7C	F-JDRS	AP32
4CA9	F-BTFJ	C150
4CAD	F-BTFN	C150
4CBC	F-JDRU	FDCT
4CDC	F-JBST	ELSP
4CFD	F-JCZF	MM24
4D00	F-BTIA	ST10
4D1C	F-JDTS	SD4
4D2F	F-BTJP	RALL
4D44	F-BTKE	DR30
4D46	F-BTKG	DR30
4D47	F-BTKH	DR40
4D4F	F-BTKP	HR10
4D51	F-BTKR	DR40
4D53	F-BTKT	DR40
4D5A	F-WWAW	A359
4D64	F-BTLE	WA50
4D74	F-BTLU	CE43
4D78	F-BTLY	CE43
4D7B	F-PYBH	CP80
4D87	F-BTMH	PA34
4D8D	F-BTMN	BT36
4DFA	F-WWDW	A359
4DFC	F-JEWC	UF13
4E05	F-BTQF	P28R
4E07	F-BTQH	P28R
4E0C	F-BTQM	BE23
4E18	F-BTQY	C182
4E1A	F-WWIW	A359
4E39	F-BTRZ	ST10
4E3A	F-WWBW	A359
4E3B	F-PMDC	MCR1
4E3C	F-JDXD	SVNH
4E48	F-BTSI	B47G
4E5B	F-PYHY	D11
4E7D	F-JDFG	PIVI
4E81	F-BTUB	C150
4E8B	F-BTUL	C172
