8150	336	SIRA	A
8151	337	SIRA	A
8152	338	SIRA
8156	342	SIRA	A
8157	343	SIRA	A
8158	344	SIRA
8159	345	SIRA
815A	346	SIRA	A
815B	347	SIRA
815C	348	SIRA
815D	349	SIRA	A
815E	350	SIRA	A
8176	374	E145
8196	406	B350
82A6	678	GLF5
82BD	22701	A109
82C0	22704	A109
82D9	729	E145
82E5	741	C130
82E6	742	C130
82EB	747	C130
82EF	751	C130
82F0	752	C130
82F5	757	E145
830C	2780	AS32
8313	2787	AS3B
8444	SX-ABD	A321
8451	SX-ABQ	A321
846B	SX-ACK	C206
8470	SX-ACP	A321
8476	SX-ACV	PA32
8477	SX-ACW	C172
8485	SX-ADE	TAMP
84A7	SX-AEG	P208
84AE	SX-AEN	DA40
84AF	SX-AEO	C182
84B4	SX-AET	DA40
84B5	SX-AEU	DA40
84B7	SX-AEW	C172
84B8	SX-AEX	P208
84B9	SX-AEY	P208
84BA	SX-AEZ	P208
8505	SX-AHE	P208
851A	SX-AHZ	AA5
856A	SX-AKJ	P28A
8605	SX-APE	C172
8618	SX-APX	B752
8622	SX-AQB	C208
8623	SX-AQC	C208
8625	SX-AQE	E120
8627	SX-AQG	C56X
8629	SX-AQI	E120
862B	SX-AQK	E120
862C	SX-AQL	P208
862D	SX-AQM	E120
8641	SX-ARA	P28A
8644	SX-ARD	P28A
8648	SX-ARH	P28A
8649	SX-ARI	P28A
864B	SX-ARK	P32R
864D	SX-ARM	P28A
864E	SX-ARN	P28A
8652	SX-ARR	P28A
8667	SX-ASG	C172
866B	SX-ASK	E75L
8674	SX-AST	P28R
8676	SX-ASV	C172
867A	SX-ASZ	TB20
8682	SX-ATB	TB20
8683	SX-ATC	C172
8686	SX-ATF	B734
8687	SX-ATG	TB20
8688	SX-ATH	C182
868B	SX-ATK	TB20
8692	SX-ATR	P32R
8693	SX-ATS	TB20
8697	SX-ATW	C172
86C5	SX-AVE	PAY1
86C6	SX-AVF	PAY1
86D3	SX-AVS	C172
86E4	SX-AWD	C172
870C	SX-AXL	C172
8742	SX-AZB	DA40
889A	SX-BDZ	PA44
88AF	SX-BEO	DA42
88B0	SX-BEP	DA42
88F5	SX-BGU	SW4
8930	SX-BIP	DH8A
8932	SX-BIR	DH8A
8979	SX-BKY	BE9L
897A	SX-BKZ	SW4
8985	SX-BLE	PA31
89AB	SX-BMK	C55B
89B4	SX-BMT	SW4
89C2	SX-BNB	PA31
89C9	SX-BNI	PA31
89D2	SX-BNR	LJ60
8A83	SX-BTC	PA44
8C99	SX-CDY	C551
8D03	SX-CHC	GLF5
8D07	SX-CHG	A20N
8E45	SX-CRE	A20N
90E1	SX-DGA	A321
90E2	SX-DGB	A320
90E3	SX-DGC	A320
90E4	SX-DGD	A320
90E5	SX-DGE	A320
90E6	SX-DGF	A319
90E9	SX-DGI	A320
90EA	SX-DGJ	A320
90EF	SX-DGO	A320
90F1	SX-DGQ	A321
90F4	SX-DGT	A321
90F6	SX-DGV	A320
90F9	SX-DGY	A320
90FA	SX-DGZ	A320
9101	SX-DHA	CL60
9102	SX-DHB	CL60
912D	SX-DIM	AT76
91C1	SX-DNA	A320
91C2	SX-DNB	A320
91C3	SX-DNC	A320
91C4	SX-DND	A320
91C5	SX-DNE	A320
91C6	SX-DNF	A321
91C7	SX-DNG	A321
91C8	SX-DNH	A321
9241	SX-DRA	B734
92C7	SX-DVG	A320
92C8	SX-DVH	A320
92CA	SX-DVJ	A320
92CC	SX-DVL	A320
92CD	SX-DVM	A320
92CE	SX-DVN	A320
92D1	SX-DVQ	A320
92D2	SX-DVR	A320
92D3	SX-DVS	A320
92D4	SX-DVT	A320
92D5	SX-DVU	A320
92D6	SX-DVV	A320
92D7	SX-DVW	A320
92D8	SX-DVX	A320
92D9	SX-DVY	A320
92DA	SX-DVZ	A321
944C	SX-EBL	A320
9469	SX-ECI	C750
94EE	SX-EGN	DA42
9534	SX-EIT	AT45
9596	SX-ELV	AT76
95A2	SX-EMB	A319
95AD	SX-EMM	A319
982D	SX-FAM	F2TH
9868	SX-FCH	PA31
9881	SX-FDA	C550
9883	SX-FDC	PAY1
988B	SX-FDK	C650
9934	SX-FIT	AT76
9936	SX-FIV	AT75
9999	SX-FLY	H25B
99F2	SX-FOR	AT45
9C25	SX-GAE	P28A
9C2F	SX-GAO	P28A
9C30	SX-GAP	P28A
9C33	SX-GAS	C172
9C36	SX-GAV	P28A
9CE1	SX-GGA	C172
9D42	SX-GJB	GA7C
9DC1	SX-GNA	A20N
9DE4	SX-GOD	PC12
9E41	SX-GRA	A21N
9E42	SX-GRB	A21N
9E45	SX-GRE	A20N
9E49	SX-GRI	AT45
9E92	SX-GTR	DA42
A046	SX-HBF	B06
A06E	SX-HCN	EC35
A071	SX-HCQ	R22
A090	SX-HDP	R22
A097	SX-HDW	H500
A098	SX-HDX	R66
A099	SX-HDY	AS65
A09A	SX-HDZ	R66
A0AA	SX-HEJ	B407
A0B7	SX-HEW	R22
A0C4	SX-HFD	BK17
A0C5	SX-HFE	BK17
A0C7	SX-HFG	AS32
A0C8	SX-HFH	BK17
A0E1	SX-HGA	A109
A0E4	SX-HGD	R66
