BD63	OY-OKC	C177
BD84	OY-OLD	FA8X
BDC5	OY-ONE	RODS
BE56	OY-ORV	RV7
BE74	OY-OST	M20P
BE98	OY-OTX	GLIM
BEC4	OY-OVD	PA34
BF5A	OY-OZZ	AA5
C04B	OY-PBK	C208
C052	OY-PBR	C208
C054	OY-PBT	TAMP
C063	OY-PCC	C172
C06C	OY-PCL	BE20
C081	OY-PDA	P28A
C089	OY-PDI	P28A
C08F	OY-PDO	P28A
C0A2	OY-PEB	RV12
C0AC	OY-PEL	P28T
C0AD	OY-PEM	PA44
C0AE	OY-PEN	C172
C0B6	OY-PEV	C172
C0E1	OY-PGA	FA7X
C104	OY-PHD	P46T
C10B	OY-PHK	P28A
C10D	OY-PHM	P28A
C126	OY-PIF	C182
C12C	OY-PIL	C77R
C12E	OY-PIN	LGEZ
C138	OY-PIX	GLID
C167	OY-PKG	SR20
C173	OY-PKS	P32R
C178	OY-PKX	GLID
C1B4	OY-PMT	C172
C1D8	OY-PNX	GLID
C1F4	OY-POT	P149
C1FA	OY-POZ	P28A
C203	OY-PPC	C182
C213	OY-PPS	PA34
C247	OY-PRG	RALL
C24D	OY-PRM	RALL
C253	OY-PRS	RALL
C28C	OY-PTL	C172
C292	OY-PTR	PC6T
C2B8	OY-PUX	GLIM
C303	OY-PXC	GLID
C305	OY-PXE	GLIM
C822	OY-RAB	FA7X
C824	OY-RAD	FA8X
C844	OY-RBD	DA42
C867	OY-RCG	A319
C868	OY-RCH	A319
C86A	OY-RCJ	A320
C86B	OY-RCK	A20N
C86C	OY-RCL	A20N
C86D	OY-RCM	A320
C878	OY-RCX	GLID
C898	OY-RDX	GLIM
C922	OY-RIB	P180
C94D	OY-RJM	CRJ2
C982	OY-RLB	B762
C9A1	OY-RMA	C206
C9F8	OY-ROX	GLID
CA05	OY-RPE	AR11
CA0F	OY-RPO	PA27
CA19	OY-RPY	PA18
CA63	OY-RSC	C82R
CA65	OY-RSE	PC12
CA98	OY-RTX	GLIM
CAA1	OY-RUA	AT75
CAA2	OY-RUB	AT72
CAA4	OY-RUD	AT72
CAA5	OY-RUE	MD83
CAA6	OY-RUF	AT45
CAA7	OY-RUG	AT72
CAA8	OY-RUH	A320
CAAC	OY-RUL	C208
CAAD	OY-RUM	AT76
CAAE	OY-RUN	AT76
CAAF	OY-RUO	AT45
CAB0	OY-RUP	A320
CAB2	OY-RUR	AT72
CAB4	OY-RUT	MD82
CAB5	OY-RUU	A321
CAB6	OY-RUV	AT76
CAB8	OY-RUX	GLID
CAB9	OY-RUY	A320
CABA	OY-RUZ	A320
CAC1	OY-RVA	RV6
CAC3	OY-RVC	RV8
CAC7	OY-RVG	RV6
CACB	OY-RVK	RV8
CACD	OY-RVM	RV6
CAD0	OY-RVP	RV7
CAD4	OY-RVT	RV8
CB02	OY-XRB	GLID
CB12	OY-RXR	GLID
CB29	OY-RYI	C182
CB30	OY-RYP	C172
CB35	OY-RYU	C172
CB39	OY-RYY	C172
CB45	OY-RZE	DA62
CC94	OY-SDT	C82R
CCB3	OY-SES	E55P
CCB8	OY-SEX	GLID
CCD5	OY-SFU	C82R
CCD8	OY-SFX	GLID
CCF8	OY-SGX	DIMO
CD16	OY-SHV	BE20
CD27	OY-SIG	C180
CD58	OY-SJX	GLIM
CD6B	OY-SKK	FA8X
CDAA	OY-SMJ	M600
CDAB	OY-SMK	C82R
CDB8	OY-SMX	GLID
CDC5	OY-SNE	SR22
CDD3	OY-SNS	P68
CDD5	OY-SNU	SR22
CE01	OY-SPA	GLEX
CE0C	OY-SPL	P28A
CE13	OY-SPS	P68
CE46	OY-SRF	B762
CE47	OY-SRG	B762
CE49	OY-SRI	B762
CE4B	OY-SRK	B762
CE4C	OY-SRL	B762
CE4D	OY-SRM	B762
CE4E	OY-SRN	B762
CE4F	OY-SRO	B762
CE50	OY-SRP	B762
CE55	OY-SRU	B763
CE56	OY-SRV	B763
CE57	OY-SRW	B763
CE97	OY-STW	P28B
CEB2	OY-SUR	P68
CECD	OY-SVM	C172
CEEF	OY-SWO	F2TH
CF01	OY-SXA	GLIM
